dbf_country,iso3c,W_2000,W_2025,E_2000,E_2025,V_2000,V_2025,SafeWater_2000,Undernourish_2000,FoodInsec_ModSev_2014,FoodInsec_ModSev_2022,SafeWater_2022,Undernourish_2022,WaterStress_2000,WaterStress_2022,RuleOfLaw_1789,RuleOfLaw_2024
Albania,ALB,7.23,5.91,2.38,2.29,21.96,15.25,49,4.8,38.8,33,71,5.4,11.04,4.79,NA,0.574
Argentina,ARG,15.67,15.72,11.67,11.54,21.04,21.42,NA,3,19.2,33.8,NA,3.4,8.42,10.46,0.502,0.626
Armenia,ARM,2.35,1.91,0.24,0.23,22.96,15.85,82,28.6,NA,7.8,82,2.5,37.74,61.97,NA,0.583
Australia,AUS,19.68,21.9,32.03,31.21,12.09,15.37,NA,2.5,10.8,13.8,NA,2.5,8.71,4.67,0.778,0.991
Austria,AUT,1.39,1.31,0.17,0.17,11.3,10.09,97,2.5,5.5,4.7,99,2.5,10.05,8.68,0.705,0.934
Bangladesh,BGD,23.28,26.71,16.62,16.57,32.61,43.07,55,15.5,NA,NA,59,10.4,NA,5.72,NA,0.107
Bosnia-Herzegovina,BIH,2.79,2.49,0.34,0.34,22.86,18.17,87,3.6,9.6,9.9,87,2.5,2.47,2.07,NA,0.432
Brazil,BRA,11.3,13.8,6.32,6.37,20.22,29.9,76,10.5,13.3,13.5,87,2.5,2.65,1.5,0.268,0.845
Bulgaria,BGR,2.39,2.23,0.3,0.3,19.04,16.59,90,4.9,14.9,11.6,96,2.5,45.33,40.24,NA,0.559
Cameroon,CMR,10.63,11.19,2.03,2.08,55.7,60.2,NA,24.2,49.9,61.2,NA,4.8,1.39,1.56,NA,0.095
Canada,CAN,19.86,19.88,26.48,25.89,14.89,15.26,98,2.5,5,10.2,99,2.5,4.31,3.72,NA,0.966
Chile,CHL,16.2,14.27,13.1,12.86,20.03,15.84,92,2.9,10.8,19.2,99,2.5,7.35,8.98,0.286,0.945
China,CHN,39.66,30.62,64.32,64.59,24.46,14.52,NA,10,NA,NA,NA,2.5,40.23,41.52,0.057,0.215
Colombia,COL,38.68,39.26,31.37,31.54,47.7,48.86,68,8.6,19.9,27.8,74,3.9,1.16,3.63,0.379,0.748
Croatia,HRV,5.39,4.89,1.6,1.57,18.14,15.25,85,10.6,6.5,6,NA,2.5,NA,1.51,NA,0.8
Cyprus,CYP,3.91,3.36,1,1.02,15.25,11.09,96,5.9,NA,1.4,99,2.5,22.01,30.48,NA,0.873
Czech Republic,CZE,1.26,1.17,0.1,0.1,15.96,13.75,96,2.5,5.8,10,98,2.5,32.57,21.97,NA,0.945
Ethiopia,ETH,4.83,4.87,0.35,0.36,66.58,66.01,5,46.1,56.2,61.4,13,19.7,NA,32.26,0.075,0.295
France,FRA,6.14,7.75,2.72,2.7,13.85,22.27,97,2.5,6.8,8.4,99,2.5,28.63,21.38,0.745,0.963
Georgia,GEO,4.07,3.8,0.75,0.73,22.14,19.82,64,6.6,31.8,26.6,69,2.5,6.24,4.21,NA,0.599
Germany,DEU,5.08,4.28,2.02,1.99,12.77,9.19,99,2.5,4.1,4.1,99,2.5,61.52,35.35,0.644,0.991
Ghana,GHA,3.32,3.19,0.34,0.34,32.37,29.84,12,14.8,38.3,44.5,44,6.3,4.28,6.31,NA,0.532
Greece,GRC,10.83,9.02,8.47,8.25,13.86,9.87,99,2.5,15.8,6.6,99,2.5,18.24,20.33,NA,0.846
Hong Kong,HKG,NA,NA,NA,NA,NA,NA,98,2.5,NA,NA,99,3.1,NA,NA,NA,0.731
Hungary,HUN,1.06,0.91,0.11,0.11,10.24,7.61,87,2.5,11.3,15.6,99,2.5,10.09,8.11,0.575,0.577
India,IND,45.17,40.73,35.87,35.99,56.87,46.1,NA,18.1,NA,NA,NA,12,62.68,66.49,0.359,0.401
Indonesia,IDN,43.66,39.8,39.31,39.89,48.5,39.71,24,18.1,6,4.5,30,6.3,15.11,29.7,NA,0.399
Iran,IRN,17.28,16.3,12.17,12.49,24.53,21.28,90,4.9,48,38.8,94,6.8,77.39,81.29,0.067,0.214
Iraq,IRQ,7.57,9.06,1.69,1.72,33.9,47.68,50,20.1,NA,NA,60,14.9,92.69,59.58,NA,0.282
Ireland,IRL,3.55,3.25,1.48,1.45,8.52,7.28,64,2.5,8.9,4.8,96,2.5,4.67,8.05,NA,0.983
Israel,ISR,4.55,3.69,0.88,0.88,23.57,15.48,99,2.5,11.6,9.2,99,2.5,139.19,129.67,NA,0.897
Italy,ITA,10.63,11.34,8.85,8.69,12.78,14.8,95,2.5,NA,1.7,93,2.5,39.7,29.77,NA,0.863
Japan,JPN,21.44,24.81,44.12,43.67,10.42,14.09,98,NA,2.6,5.8,99,NA,41.56,36.64,0.336,0.949
Kazakhstan,KAZ,2.54,1.73,0.25,0.25,25.79,11.99,63,6.5,NA,2,NA,2.5,29.13,34.63,NA,0.239
Kenya,KEN,13.71,13.72,3.15,3.27,59.68,57.53,NA,31.8,50.7,73.9,NA,36.8,12.86,33.24,NA,0.647
Kosovo,XKX,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.686
Kuwait,KWT,3.63,2.42,1.03,1.05,12.76,5.56,99,2.5,12.6,8.4,99,2.5,1911.85,3850.5,0.606,0.712
Lebanon,LBN,3.15,4.29,0.37,0.38,26.84,48.38,44,7.4,NA,42.4,48,8.7,41.08,58.79,NA,0.227
Malaysia,MYS,13.23,14.28,8.56,8.64,20.44,23.61,93,2.5,17.4,16.7,94,2.5,2.89,3.44,NA,0.684
Mexico,MEX,46.53,38.96,49.86,50.08,43.43,30.31,40,2.8,24.9,19.3,43,2.7,25.57,44.95,0.273,0.388
Morocco,MAR,13.66,10.55,7.64,7.63,24.42,14.59,42,5.8,NA,NA,75,7,60.48,50.75,0.125,0.528
Namibia,NAM,7.53,5.86,1.32,1.32,43.01,26.05,NA,15.7,53.2,55.9,NA,18.1,0.9,0.31,NA,0.827
The Netherlands,NLD,4.58,4.33,2.22,2.2,9.46,8.53,NA,NA,NA,NA,NA,NA,NA,NA,0.439,0.979
New Zealand,NZL,15.32,15.2,18.03,17.99,13.01,12.85,84,2.5,10,17.3,99,2.5,2.76,8.05,NA,0.991
Nigeria,NGA,7.18,9.19,1.3,1.32,39.64,63.99,13,8.7,34.7,74.8,29,19.9,7.99,9.67,NA,0.243
North Macedonia,MKD,1.19,1.01,0.1,0.1,14.18,10.12,80,6.7,15.2,15.2,80,2.5,16.75,52.55,NA,0.368
North of Cyprus,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pakistan,PAK,25.9,26.82,12.99,13.11,51.63,54.85,35,20.4,14.1,42.1,51,16.5,105.86,109.99,NA,0.306
Philippines,PHL,45.26,46.56,40.62,39.99,50.43,54.2,41,18.5,NA,32.9,48,3,NA,27.83,NA,0.376
Poland,POL,5.12,4.92,1.76,1.73,14.87,13.98,NA,2.5,8.9,3.4,89,2.5,42.05,32.49,0.179,0.878
Portugal,PRT,6.54,4.76,3.14,3.07,13.62,7.37,94,2.5,14.7,11.9,95,2.5,21.43,12.32,0.232,0.911
Romania,ROU,3.14,3.36,0.69,0.71,14.3,15.88,82,2.5,19.3,18.6,82,2.5,9.03,7.63,0.034,0.642
Russia,RUS,34.27,31.22,29.28,28.35,40.11,34.38,75,4.2,8.2,2.8,76,2.5,4.83,4.12,0.06,0.119
Saudi Arabia,SAU,7.84,9.67,5.18,5.25,11.88,17.81,NA,4.6,NA,NA,NA,2.5,819.76,974.17,0.122,0.385
Serbia,SRB,2.02,1.75,0.17,0.17,24.06,18.09,74,4.8,11.4,9.5,75,2.5,NA,5.74,NA,0.436
Singapore,SGP,0.75,0.67,0.15,0.15,3.74,2.99,99,NA,2.9,9.5,99,NA,313.89,33.26,NA,0.96
Slovakia,SVK,1.09,1.11,0.1,0.1,11.88,12.41,92,6.2,6.2,7.5,99,3.1,5.04,2.43,NA,0.745
South Africa,ZAF,9.34,9.5,3.13,3.13,27.87,28.81,NA,3.6,NA,20.7,NA,10,40.77,67.6,NA,0.707
Spain,ESP,9.94,10.17,7.83,7.77,12.62,13.32,99,2.5,7.1,6.5,99,2.5,49.22,43.25,0.315,0.954
Switzerland,CHE,1.25,1.23,0.16,0.16,9.76,9.47,97,2.5,4.8,2,97,2.5,9.66,6.5,NA,0.995
Taiwan,TWN,NA,NA,NA,NA,NA,NA,NA,3.7,NA,NA,NA,3.8,NA,NA,NA,0.928
Thailand,THA,22.03,20.03,13.79,14.32,35.18,28.03,NA,17.3,NA,5.4,NA,4.6,NA,23.01,0.122,0.389
Turkey,TUR,20.84,14.62,9.03,8.9,48.11,24.01,NA,12.9,NA,NA,NA,2.5,31.2,44.1,0.226,0.18
Ukraine,UKR,2.58,4.34,0.48,0.48,13.83,39.24,66,2.7,19.8,32.5,88,6.9,23.68,6.3,NA,0.411
United Arab Emirates,ARE,4.38,5.97,3.68,3.77,5.22,9.44,NA,2.5,NA,3.6,NA,2.5,1555.87,1509.93,NA,0.643
United Kingdom,GBR,7.52,6.14,2.59,2.58,21.84,14.62,99,2.5,6.3,6.9,99,2.5,21.29,14.35,0.671,0.957
United States,USA,24.08,23.09,40.11,39.59,14.46,13.47,NA,2.5,10.5,10.3,98,2.5,30.01,28.16,0.886,0.965
Uzbekistan,UZB,1.81,1.42,0.18,0.18,18.21,11.19,54,19,11.2,24.4,80,2.5,153.08,121.84,0.114,0.157
Vietnam,VNM,26.83,25.92,27.04,26.73,26.63,25.14,46,19.5,NA,10.7,58,5.3,15.9,18.13,NA,0.353