datasource,Language,Q_Language,Country,LabID,Sample
Qualtrics,AR,AR-AE-4404,AE,4404,S
Qualtrics,AR,AR-AE-4404,AE,4404,C
Qualtrics,AR,AR-IQ-3314,IQ,3314,S
Qualtrics,AR,AR-IQ-3314,IQ,3314,C
Qualtrics,AR,AR-KU-2480,KU,2480,C
Qualtrics,AR,AR-KU-2480,KU,2480,S
Qualtrics,AR,AR-LB-4416,LB,4416,C
Qualtrics,AR,AR-MO-875,MO,875,S
Qualtrics,AR,AR-MO-875,MO,875,C
Qualtrics,AR,AR-SA-1574,SA,1574,S
Qualtrics,AR,AR-SA-1574,SA,1574,C
Qualtrics,AR,AR-SA-3357,SA,3357,C
Qualtrics,BG,BG-BG611C,BG,611,C
Qualtrics,BG,BG-BG-611,BG,611,S
Qualtrics,BN,BN-BD3913C,BD,3913,C
Qualtrics,BN,BN-BD-3913,BD,3913,S
Qualtrics,BS,BS-BA-3903,BA,3903,S
Qualtrics,BS,BS-BA-3904,BA,3904,S
Qualtrics,CS,CS-CZ-538C,CZ,538,C
Qualtrics,CS,CS-CZ-538,CZ,538,S
Qualtrics,CS,CS-CZ-3498,CZ,3498,S
Qualtrics,CS,CS-CZ-3795,CZ,3795,S
Qualtrics,CS,CS-CZ-3795,CZ,3795,C
Qualtrics,CS,CS-CZ-3506,CZ,3506,C
Qualtrics,DE,DE-AT-104,AT,104,C
Qualtrics,DE,DE-AT-113,AT,113,S
Qualtrics,DE,DE-DE-2382,DE,2382,C
Qualtrics,DE,DE-DE-1060,DE,1060,S
Qualtrics,DE,DE-DE-40,DE,40,S
Qualtrics,DE,DE-DE-379,DE,379,S
Qualtrics,EL,EL-GR-2796,EL,2796,C
Qualtrics,EL,EL-GR-1884,GR,1884,S
Qualtrics,EL,EL-GR-1884,GR,1884,C
Qualtrics,EL,EL-GR-2665,GR,2665,S
Qualtrics,EL,EL-GR-2665,GR,2665,C
Qualtrics,EL,EL-761,GR,761,S
Qualtrics,EL,EL-761-C,GR,761,C
Qualtrics,EN,EN-AU-2817,AU,2817,S
Qualtrics,EN,EN-AU-408,AU,408,S
Qualtrics,EN,EN-AU-3311,AU,3311,C
Qualtrics,EN,EN-AU-1733,AU,1733,C
Qualtrics,EN,EN-AU-1545,AU,1545,S
Qualtrics,EN,EN-AU-2680,AU,2680,S
Qualtrics,EN,EN-AU-2248,AU,2248,S
Qualtrics,EN,EN-AU-91,AU,91,S
Qualtrics,EN,EN-CA-3353,CA,3353,S
Qualtrics,EN,EN-CA-2471,CA,2471,S
Qualtrics,EN,EN-CA-2141,CA,2141,S
Qualtrics,EN,EN-CH-2382,CH,2382,C
Qualtrics,EN,,CM,,
Qualtrics,EN,EN-CM-4118,CM,4118,S
Qualtrics,EN,,GH,,
Qualtrics,EN,,GH,,
Qualtrics,EN,EN-GH-3511,GH,3511,C
Qualtrics,EN,EN-HK-64,HK,64,S
Qualtrics,EN,EN-IE-3160,IE,3160,S
Qualtrics,EN,EN-IN-3509,IN,3509,S
Qualtrics,EN,EN-IN3540S,IN,3540,S
Qualtrics,EN,EN-IN3540C,IN,3540,C
Qualtrics,EN,EN-IN-3226,IN,3226,S
Qualtrics,EN,EN-IN-3226,IN,3226,C
Qualtrics,EN,EN-IN3641C,IN,3641,C
Qualtrics,EN,EN-IN-3641,IN,3641,S
Qualtrics,EN,EN-KE-3035,KE,3035,S
Qualtrics,EN,EN-KE-3035,KE,3035,C
Qualtrics,EN,EN-KU-2480,KU,2480,C
Qualtrics,EN,EN-KU-2480,KU,2480,S
Qualtrics,EN,,LB,,
Qualtrics,EN,EN-MY-483,MY,483,S
Qualtrics,EN,EN-MY-3242,MY,3242,C
Qualtrics,EN,EN-MY-3504,MY,3504,S
Qualtrics,EN,EN-MY-3504,MY,3504,C
Qualtrics,EN,EN-NG1395C,NG,1395,C
Qualtrics,EN,EN-NG-1395,NG,1395,S
Qualtrics,EN,EN-NG-3037,NG,3037,S
Qualtrics,EN,EN-NG-3037,NG,3037,C
Qualtrics,EN,EN-NG-187,NG,187,S
Qualtrics,EN,EN-NG-187,NG,187,C
Qualtrics,EN,EN-NG4042C,NG,4042,C
Qualtrics,EN,EN-NG-4042,NG,4042,S
Qualtrics,EN,EN-NZ-3661,NZ,3661,S
Qualtrics,EN,EN-NZ-3661,NZ,3661,C
Qualtrics,EN,EN-PH-4148,PH,4148,S
Qualtrics,EN,EN-PH-4148,PH,4148,C
Qualtrics,EN,EN-PH-3355,PH,3355,S
Qualtrics,EN,EN-PH-3242,PH,3242,C
Qualtrics,EN,EN-PH-1257,PH,1257,S
Qualtrics,EN,EN-PH-3512,PH,3512,S
Qualtrics,EN,EN-PH-3512,PH,3512,C
Qualtrics,EN,EN-PK-376,PK,376,C
Qualtrics,EN,EN-PK-376,PK,376,S
Qualtrics,EN,EN-SG-3412,SG,3412,C
Qualtrics,EN,EN-SG-709,SG,709,S
Qualtrics,EN,EN-SG-3288,SG,3288,S
Qualtrics,EN,EN-TH-3242,TH,3242,C
Qualtrics,EN,EN-UK-3317,UK,3317,S
Qualtrics,EN,EN-GB-224,UK,224,C
Qualtrics,EN,EN-GB-224,UK,224,S
Qualtrics,EN,EN-GB-3289,UK,3289,S
Qualtrics,EN,EN-GB-35,UK,35,S
Qualtrics,EN,EN-UK-373,UK,373,S
Qualtrics,EN,EN-UK-373,UK,373,C
Qualtrics,EN,EN-GB-749,UK,749,C
Qualtrics,EN,EN-US-829,US,829,S
Qualtrics,EN,EN-US-700,US,700,S
Qualtrics,EN,EN-US-712,US,712,S
Qualtrics,EN,EN-US-1186,US,1186,S
Qualtrics,EN,EN-US-87,US,87,S
Qualtrics,EN,EN-US-3469,US,3469,S
Qualtrics,EN,EN-US-3469,US,3469,C
Qualtrics,EN,EN-US-44,US,44,S
Qualtrics,EN,EN-US-2633,US,2633,S
Qualtrics,EN,EN-US-3292,US,3292,S
Qualtrics,EN,EN-US-90,US,90,S
Qualtrics,EN,EN-US-539,US,539,S
Qualtrics,EN,EN-US-2337,US,2337,S
Qualtrics,EN,EN-US-2916,US,2916,S
Qualtrics,EN,EN-US-1047,US,1047,S
Qualtrics,EN,EN-ZA-3309,ZA,3309,C
Qualtrics,ENAM,ENAM-3300,ET,3300,S
Qualtrics,ENAM,ENAM-3300,ET,3300,C
Qualtrics,ES,ES-ES-3275,AR,3275,S
Qualtrics,ES,ES-ES-3275,AR,3275,S
Qualtrics,ES,ES-ES3356C,CL,3356,C
Qualtrics,ES,ES-ES-3356,CL,3356,S
Qualtrics,ES,ES-CL-2361,CL,2361,C
Qualtrics,ES,ES-CL-2361,CL,2361,S
Qualtrics,ES,ES-ES-3087,ES,3087,S
Qualtrics,ES,ES-ES-3087,ES,3087,C
Qualtrics,ES,ES-ES-327B,ES,3275,S
Qualtrics,ES,ES-ES-327B,ES,3275,S
Qualtrics,ES,ES-ES-4130,ES,4130,S
Qualtrics,ES,ES-ES-1057,MX,1057,S
Qualtrics,ES,,MX,,
Qualtrics,ES,,MX,,
Qualtrics,FR,FR-FR-3703,FR,3703,S
Qualtrics,FR,FR-FR1013S,FR,1013,S
Qualtrics,FR,FR-FR1013C,FR,1013,C
Qualtrics,FR,FR-FR-4145,FR,4145,S
Qualtrics,HE,HE-4192,IL,4192,S
Qualtrics,HE,HE-2412,IL,2412,S
Qualtrics,HE,HE-4203,IL,4203,S
Qualtrics,HR,HR-BA-3910,BA,3910,S
Qualtrics,HR,HR-HR-418,HR,418,S
Qualtrics,HR,HR-HR-418,HR,418,C
Qualtrics,HU,HU-802,HU,802,S
Qualtrics,HYE,HYE-3851,AM,3851,S
Qualtrics,HYE,HYE-3851,AM,3851,C
Qualtrics,ID,ID-ID3909S,ID,3909,S
Qualtrics,ID,ID-ID3909C,ID,3909,C
Qualtrics,ID,ID-ID2298C,ID,2298,C
Qualtrics,ID,ID-ID-2298,ID,2298,S
Qualtrics,IT,IT-IT-2701,IT,2701,S
Qualtrics,IT,IT-IT-1892,IT,1892,S
Qualtrics,IT,IT-IT-1892,IT,1892,C
Qualtrics,IT,IT-IT-397,IT,397,S
Qualtrics,IT,IT-IT-397,IT,397,C
Qualtrics,IT,IT-IT-3346,IT,3346,C
Qualtrics,IT,IT-IT-262,IT,262,S
Qualtrics,IT,IT-IT-262,IT,262,C
Qualtrics,IT,IT-IT-3704,IT,3704,U
Qualtrics,IT,IT-IT-3704,IT,3704,C
Qualtrics,JA,JA-JP3572S,JP,3572,S
Qualtrics,JA,JA-JP3572C,JP,3572,C
Qualtrics,JA,JA-JP-3319,JP,3319,S
Qualtrics,JA,JA-JP-3549,JP,3549,S
Qualtrics,KAT,KAT-GE4378,GE,4378,S
Qualtrics,MK,MK-MK-144,MK,144,S
Qualtrics,MK,MK-MK-144,MK,144,C
Qualtrics,NL,NL-NL-3725,NL,3725,S
Qualtrics,NL,NL-NL-3301,NL,3301,S
Qualtrics,PL,PL-PL-101,PL,101,S
Qualtrics,PL,PL-PL-650,PL,650,U
Qualtrics,PL,PL-PL-650,PL,650,C
Qualtrics,PL,PL-PL-1113,PL,1113,U
Qualtrics,PL,PL-PL-317,PL,317,U
Qualtrics,PL,PL-PL-317,PL,317,C
Qualtrics,PT,PT-BR-152,BR,152,S
Qualtrics,PT,PT-BR-3296,BR,3296,S
Qualtrics,PT,PT-BR-3296,BR,3296,C
Qualtrics,PT,PT-BR-1697,BR,1697,S
Qualtrics,PT,PT-BR-1697,BR,1697,C
Qualtrics,PT,PT-PT-86,PT,86,S
Qualtrics,PT,PT-PT-423,PT,423,C
Qualtrics,PT,PT-PT-3147,PT,3147,C
Qualtrics,RO,RO-3304,RO,3304,C
Qualtrics,RO,RO-3304,RO,3304,S
Qualtrics,RU,RU-KZ-3453,KZ,363,
Qualtrics,SK,SK-SK-235,SK,235,S
Qualtrics,SK,SK-SK-235,SK,235,C
Qualtrics,SQI,SQI-4150,XK,4150,C
Qualtrics,SQI,SQI-4150,XK,4150,S
Qualtrics,SR,SR-2088,RS,2088,S
Qualtrics,SR,SR-2088-C,RS,2088,C
Qualtrics,SR,SR-1211,RS,1211,S
Qualtrics,SR,SR-1211-C,RS,1211,C
Qualtrics,SR,SR-3395,RS,3395,S
Qualtrics,SR,SR-3395-C,RS,3395,C
Qualtrics,SR,SR-1970,RS,1970,S
Qualtrics,SW,SW-KE-3035,KE,3035,S
Qualtrics,SW,SW-KE-3035,KE,3035,C
Qualtrics,TH,TH-TH3312C,TH,3312,C
Qualtrics,TH,TH-TH-3312,TH,3312,S
Qualtrics,TH,TH-TH-3242,TH,3242,C
Qualtrics,TR,TR-CY-3326,CY,3326,S
Qualtrics,TR,TR-TR-98,TR,98,C
Qualtrics,TR,TR-TR-98,TR,98,S
Qualtrics,TR,TR-TR-58,TR,58,S
Qualtrics,TR,TR-TR-3733,TR,3733,S
Qualtrics,TR,TR-TR-3733,TR,3733,C
Qualtrics,TR,TR-TR-1163,TR,1163,S
Qualtrics,TR,TR-TR-1163,TR,1163,C
Qualtrics,TR,TR-TR-137,TR,137,S
Qualtrics,TR,TR-TR-137,TR,137,C
Qualtrics,TR,TR-TR-2419,TR,2419,S
Qualtrics,TR,TR-TR-2419,TR,2419,C
Qualtrics,TR,TR-TR-2769,TR,2769,S
Qualtrics,TR,TR-TR-2117,TR,2117,U
Qualtrics,TR,TR-TR-2117,TR,2117,C
Qualtrics,TR,TR-TR-127,TR,127,C
Qualtrics,TR,TR-TR-257,TR,257,U
Qualtrics,TR,TR-TR-3344,TR,3344,U
Qualtrics,TR,TR-TR-3344,TR,3344,C
Qualtrics,TR,TR-TR-2465,TR,2465,U
Qualtrics,TR,TR-TR-535,TR,535,U
Qualtrics,TR,TR-TR-437,TR,437,U
Qualtrics,TR,TR-TR-2512,TR,2512,C
Qualtrics,TR,TR-TR-2797,TR,2797,S
Qualtrics,TRUZ,TRUZ-3523,UZ,3291,C
Qualtrics,TRUZ,TRUZ-3523,UZ,3291,S
Qualtrics,UK,UK-UA-3746,UA,3746,U
Qualtrics,UK,UK-UA-3746,UA,3746,C
Qualtrics,VI,VI-VN-145,VN,145,S
Qualtrics,VI,VI-VN-145,VN,145,C
Qualtrics,VI,VI-VN-1668,VN,1668,S
Qualtrics,ZH,ZH-S-617,CN,617,S
Qualtrics,ZH,ZH-S-2131C,CN,2131,C
Qualtrics,ZH,ZH-S-2131,CN,2131,S
Qualtrics,ZH,ZH-S-3505,CN,3505,S
Qualtrics,ZH,ZH-S-2998S,CN,2998,S
Qualtrics,ZH,ZH-S-2998C,CN,2998,C
Qualtrics,ZH,,TW,,
Qualtrics,ZH,ZH-T-354C,TW,354,C
Qualtrics,ZH,ZH-T-TW354,TW,354,S
Qualtrics,ZH,ZH-T-TW109,TW,1092,S
Qualtrics,ZH,ZH-T-TW109,TW,1092,C
Panel,ES,ES-AR-9999,AR,9999,C
Panel,ES,ES-CL-9999,CL,9999,C
Panel,EN,EN-IE-9999,IE,9999,C
Panel,AR,AR-AE-9999,AE,9999,C
Gorilla,FA,FA-IR-3208,IR,3208,
Gorilla,FA,FA-IR-3321,IR,3321,
Gorilla,FA,FA-IR-3647,IR,3647,
Gorilla,FA,FA-IR-3235,IR,3235,
Gorilla,FA,FA-IR-488,IR,488,
Gorilla,FA,FA-IR-2989,IR,2989,
Gorilla,RU,RU-RU-3571,RU,3571,
Gorilla,RU,RU-RU-3293,RU,3293,
ALLS,EN,EN-KE-1533,KE,1533,C
ALLS,EN,EN-NA-1533,NA,1533,C
ALLS,EN,EN-ZA-1533,ZA,1533,C