Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,values_m object-53 Для него  важно придумывать новые идеи и быть креативным. Ему  нравится делать все по-своему.,values_m object-53 Для него  важно придумывать новые идеи и быть креативным. Ему  нравится делать все по-своему. Quantised,values_m object-53 Для него важно быть богатым. Он хочет иметь много денег и дорогие вещи.,values_m object-53 Для него важно быть богатым. Он хочет иметь много денег и дорогие вещи. Quantised,"values_m object-53 Он считает важным, чтобы к каждому человеку в мире относились одинаково. Он считает, что у всех должны быть равные возможности в жизни.","values_m object-53 Он считает важным, чтобы к каждому человеку в мире относились одинаково. Он считает, что у всех должны быть равные возможности в жизни. Quantised","values_m object-53 Для него важно демонстрировать свои способности. Он хочет, чтобы люди восхищались тем, что он делает.","values_m object-53 Для него важно демонстрировать свои способности. Он хочет, чтобы люди восхищались тем, что он делает. Quantised","values_m object-53 Для него важно жить в безопасной обстановке. Он избегает всего, что может поставить под угрозу его безопасность.","values_m object-53 Для него важно жить в безопасной обстановке. Он избегает всего, что может поставить под угрозу его безопасность. Quantised","values_m object-53 Ему нравятся сюрпризы, и он всегда ищет новые занятия. Он считает, что в жизни важно делать много разных вещей.","values_m object-53 Ему нравятся сюрпризы, и он всегда ищет новые занятия. Он считает, что в жизни важно делать много разных вещей. Quantised","values_m object-53 Он считает, что люди должны делать то, что им говорят. Он считает, что люди должны всегда следовать правилам, даже когда никто не смотрит.","values_m object-53 Он считает, что люди должны делать то, что им говорят. Он считает, что люди должны всегда следовать правилам, даже когда никто не смотрит. Quantised","values_m object-53 Ему важно слушать людей, которые отличаются от него. Даже когда он с ними не согласен, он все равно хочет их понять.","values_m object-53 Ему важно слушать людей, которые отличаются от него. Даже когда он с ними не согласен, он все равно хочет их понять. Quantised",values_m object-53 Ему важно быть скромным и сдержанным. Он старается не привлекать к себе внимания.,values_m object-53 Ему важно быть скромным и сдержанным. Он старается не привлекать к себе внимания. Quantised,values_m object-53 Для него важно хорошо проводить время. Он любит «баловать» себя.,values_m object-53 Для него важно хорошо проводить время. Он любит «баловать» себя. Quantised,"values_m object-53 Для него важно принимать собственные решения о том, что он делает. Ему нравится быть свободным и не зависеть от других.","values_m object-53 Для него важно принимать собственные решения о том, что он делает. Ему нравится быть свободным и не зависеть от других. Quantised",values_m object-53 Для него очень важно помогать окружающим его людям. Он хочет заботиться об их благополучии.,values_m object-53 Для него очень важно помогать окружающим его людям. Он хочет заботиться об их благополучии. Quantised,"values_m object-53 Для него важно быть очень успешным. Он надеется, что люди признают его достижения.","values_m object-53 Для него важно быть очень успешным. Он надеется, что люди признают его достижения. Quantised","values_m object-53 Для него важно, чтобы правительство обеспечивало его безопасность от всех угроз. Он хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан.","values_m object-53 Для него важно, чтобы правительство обеспечивало его безопасность от всех угроз. Он хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан. Quantised",values_m object-53 Он ищет приключений и любит рисковать. Он хочет иметь захватывающую жизнь.,values_m object-53 Он ищет приключений и любит рисковать. Он хочет иметь захватывающую жизнь. Quantised,"values_m object-53 Для него важно всегда вести себя правильно. Он хочет избегать того, что люди могут назвать неправильным.","values_m object-53 Для него важно всегда вести себя правильно. Он хочет избегать того, что люди могут назвать неправильным. Quantised","values_m object-53 Для него важно получать уважение от других. Он хочет, чтобы люди делали то, что он говорит.","values_m object-53 Для него важно получать уважение от других. Он хочет, чтобы люди делали то, что он говорит. Quantised",values_m object-53 Для него важно быть верным своим друзьям. Он хочет посвятить себя близким ему людям.,values_m object-53 Для него важно быть верным своим друзьям. Он хочет посвятить себя близким ему людям. Quantised,"values_m object-53 Он твердо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для него.","values_m object-53 Он твердо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для него. Quantised","values_m object-53 Для него важны традиции. Он старается следовать обычаям, переданным его религией или его семьей.","values_m object-53 Для него важны традиции. Он старается следовать обычаям, переданным его религией или его семьей. Quantised","values_m object-53 Он ищет любую возможность повеселиться. Для него важно делать то, что доставляет ему удовольствие.","values_m object-53 Он ищет любую возможность повеселиться. Для него важно делать то, что доставляет ему удовольствие. Quantised"
1,1746517370655,06/05/2025 07:42,1746528170655,3,06/05/2025 13:42,226252,1,questionnaire-rdmv,,45887259,BLINDED,13353319,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 136.0.0.0,1920x1080,1920x953,,,0,PVQ M,3,consent,M,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4
1,1746526606247,06/05/2025 10:16,1746537406247,3,06/05/2025 16:16,226252,1,questionnaire-rdmv,,45892560,BLINDED,13354408,,complete,,,mobile,undefined K,Android 15,Chrome 135.0.7049.111,407x904,406x798,,,0,PVQ M,3,consent,M,Не похоже на меня (2),2,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Совсем не похоже на меня (1),1,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Не похоже на меня (2),2,Совсем не похоже на меня (1),1,Похоже на меня (5),5
1,1746536118036,06/05/2025 12:55,1746546918036,3,06/05/2025 18:55,226252,1,questionnaire-rdmv,,45898134,BLINDED,13356342,,complete,,,computer,Desktop or Laptop,Windows 10,Edge 136.0.0.0,1920x1080,1912x962,,,0,PVQ M,3,consent,M,Отчасти про меня (4),4,Немного похоже на меня (3),3,Совсем не похоже на меня (1),1,Немного похоже на меня (3),3,Отчасти про меня (4),4,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Похоже на меня (5),5,Совсем не похоже на меня (1),1,,,Не похоже на меня (2),2,,,Совсем не похоже на меня (1),1,Похоже на меня (5),5,,,,,Не похоже на меня (2),2,,,Совсем не похоже на меня (1),1,Отчасти про меня (4),4,Немного похоже на меня (3),3
1,1746551579398,06/05/2025 17:12,1746562379398,3,06/05/2025 23:12,226252,1,questionnaire-rdmv,,45907433,BLINDED,13358465,,complete,,,computer,Desktop or Laptop,Mac OS 10.15.7,Chrome 135.0.0.0,1800x1169,754x948,,,0,PVQ M,3,consent,M,Очень похоже на меня (6),6,Отчасти про меня (4),4,Не похоже на меня (2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Не похоже на меня (2),2,Очень похоже на меня (6),6,Отчасти про меня (4),4,Не похоже на меня (2),2,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Немного похоже на меня (3),3,Совсем не похоже на меня (1),1
1,1746632930920,07/05/2025 15:48,1746658130920,7,08/05/2025 05:48,226252,1,questionnaire-rdmv,,45954095,BLINDED,13369186,,complete,,,computer,Desktop or Laptop,Windows 10,Chrome 135.0.0.0,1536x864,1536x730,,,0,PVQ M,3,consent,M,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Не похоже на меня (2),2,Отчасти про меня (4),4,Не похоже на меня (2),2,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Не похоже на меня (2),2,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2,Отчасти про меня (4),4
1,1746654019795,07/05/2025 21:40,1746664819795,3,08/05/2025 03:40,226252,1,questionnaire-rdmv,,45968013,BLINDED,13372676,,live,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4,440x956,440x760,,,0,PVQ M,3,consent,M,Отчасти про меня (4),4,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Очень похоже на меня (6),6,Не похоже на меня (2),2,Похоже на меня (5),5,Немного похоже на меня (3),3,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Совсем не похоже на меня (1),1,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Похоже на меня (5),5,Совсем не похоже на меня (1),1,Не похоже на меня (2),2
1,1746655848318,07/05/2025 22:10,1746666648318,3,08/05/2025 04:10,226252,1,questionnaire-rdmv,,45968559,BLINDED,13372690,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.4.0.0,1920x1080,1920x964,,,0,PVQ M,3,consent,M,Отчасти про меня (4),4,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Не похоже на меня (2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня (2),2
1,1746702094047,08/05/2025 11:01,1746712894047,3,08/05/2025 17:01,226252,1,questionnaire-rdmv,,45982602,BLINDED,13376184,,complete,,,computer,Desktop or Laptop,Windows 10,Yandex 25.2.0.0,1920x1080,1872x940,,,0,PVQ M,3,consent,M,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Отчасти про меня (4),4,Очень похоже на меня (6),6,Не похоже на меня (2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Отчасти про меня (4),4
1,1746710909444,08/05/2025 13:28,1746743309444,9,09/05/2025 07:28,226252,1,questionnaire-rdmv,,45988470,BLINDED,13377710,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,402x874,402x671,,,0,PVQ M,3,consent,M,Очень похоже на меня (6),6,Отчасти про меня (4),4,Не похоже на меня (2),2,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Не похоже на меня (2),2,Похоже на меня (5),5,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня (2),2,Совсем не похоже на меня (1),1
1,1746742470051,08/05/2025 22:14,1746778470051,10,09/05/2025 18:14,226252,1,questionnaire-rdmv,,46004828,BLINDED,13381824,,complete,,,mobile,undefined K,Android 14,Chrome 136.0.7103.60,412x915,411x770,,,0,PVQ M,3,consent,M,Отчасти про меня (4),4,Отчасти про меня (4),4,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3
1,1746960260378,11/05/2025 10:44,1746971060378,3,11/05/2025 16:44,226252,1,questionnaire-rdmv,,46060440,BLINDED,13394169,,complete,,,mobile,Apple iPhone,iOS 18.4.1,Mobile Safari 18.4.1,390x844,390x648,,,0,PVQ M,3,consent,M,Отчасти про меня (4),4,Не похоже на меня (2),2,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5
