Event Index,UTC Timestamp,UTC Date and Time,Local Timestamp,Local Timezone,Local Date and Time,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Room ID,Room Order,Task Name,Task Version,branch-2d1i,branch-odpf,values_f object-54 Для неё важно придумывать новые идеи и быть креативной. Ей нравится делать всё по-своему.,values_f object-54 Для неё важно придумывать новые идеи и быть креативной. Ей нравится делать всё по-своему. Quantised,values_f object-54 Для неё важно быть богатой. Она хочет иметь много денег и дорогие вещи.,values_f object-54 Для неё важно быть богатой. Она хочет иметь много денег и дорогие вещи. Quantised,"values_f object-54 Она считает важным, чтобы к каждому человеку в мире относились одинаково. Она считает, что у всех должны быть равные возможности в жизни.","values_f object-54 Она считает важным, чтобы к каждому человеку в мире относились одинаково. Она считает, что у всех должны быть равные возможности в жизни. Quantised","values_f object-54 Для неё важно демонстрировать свои способности. Она хочет, чтобы люди восхищались тем, что она делает.","values_f object-54 Для неё важно демонстрировать свои способности. Она хочет, чтобы люди восхищались тем, что она делает. Quantised","values_f object-54 Для неё важно жить в безопасной обстановке. Она избегает всего, что может поставить под угрозу её безопасность.","values_f object-54 Для неё важно жить в безопасной обстановке. Она избегает всего, что может поставить под угрозу её безопасность. Quantised","values_f object-54 Ей нравятся сюрпризы, и она всегда ищет новые занятия. Она считает, что в жизни важно делать много разных вещей.","values_f object-54 Ей нравятся сюрпризы, и она всегда ищет новые занятия. Она считает, что в жизни важно делать много разных вещей. Quantised","values_f object-54 Она считает, что люди должны делать то, что им говорят. Она считает, что люди должны всегда следовать правилам, даже когда никто не смотрит.","values_f object-54 Она считает, что люди должны делать то, что им говорят. Она считает, что люди должны всегда следовать правилам, даже когда никто не смотрит. Quantised","values_f object-54 Ей важно слушать людей, которые отличаются от неё. Даже когда она с ними не согласна, она всё равно хочет их понять.","values_f object-54 Ей важно слушать людей, которые отличаются от неё. Даже когда она с ними не согласна, она всё равно хочет их понять. Quantised",values_f object-54 Ей важно быть скромной и сдержанной. Она старается не привлекать к себе внимания.,values_f object-54 Ей важно быть скромной и сдержанной. Она старается не привлекать к себе внимания. Quantised,values_f object-54 Для неё важно хорошо проводить время. Она любит «баловать» себя.,values_f object-54 Для неё важно хорошо проводить время. Она любит «баловать» себя. Quantised,"values_f object-54 Для неё важно принимать собственные решения о том, что она делает. Ей нравится быть свободной и не зависеть от других.","values_f object-54 Для неё важно принимать собственные решения о том, что она делает. Ей нравится быть свободной и не зависеть от других. Quantised",values_f object-54 Для неё очень важно помогать окружающим её людям. Она хочет заботиться об их благополучии.,values_f object-54 Для неё очень важно помогать окружающим её людям. Она хочет заботиться об их благополучии. Quantised,"values_f object-54 Для неё важно быть очень успешной. Она надеется, что люди признают её достижения.","values_f object-54 Для неё важно быть очень успешной. Она надеется, что люди признают её достижения. Quantised","values_f object-54 Для неё важно, чтобы правительство обеспечивало её безопасность от всех угроз. Она хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан.","values_f object-54 Для неё важно, чтобы правительство обеспечивало её безопасность от всех угроз. Она хочет, чтобы государство было сильным, чтобы оно могло защищать своих граждан. Quantised",values_f object-54 Она ищет приключений и любит рисковать. Она хочет вести захватывающую жизнь.,values_f object-54 Она ищет приключений и любит рисковать. Она хочет вести захватывающую жизнь. Quantised,"values_f object-54 Для неё важно всегда вести себя правильно. Она хочет избегать того, что люди могут назвать неправильным.","values_f object-54 Для неё важно всегда вести себя правильно. Она хочет избегать того, что люди могут назвать неправильным. Quantised","values_f object-54 Для неё важно получать уважение от других. Она хочет, чтобы люди делали то, что она говорит.","values_f object-54 Для неё важно получать уважение от других. Она хочет, чтобы люди делали то, что она говорит. Quantised",values_f object-54 Для неё важно быть верной своим друзьям. Она хочет посвятить себя близким ей людям.,values_f object-54 Для неё важно быть верной своим друзьям. Она хочет посвятить себя близким ей людям. Quantised,"values_f object-54 Она твёрдо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для неё.","values_f object-54 Она твёрдо верит, что люди должны заботиться о природе. Забота об окружающей среде важна для неё. Quantised","values_f object-54 Для неё важны традиции. Она старается следовать обычаям, переданным её религией или её семьёй.","values_f object-54 Для неё важны традиции. Она старается следовать обычаям, переданным её религией или её семьёй. Quantised","values_f object-54 Она ищет любую возможность повеселиться. Для неё важно делать то, что доставляет ей удовольствие.","values_f object-54 Она ищет любую возможность повеселиться. Для неё важно делать то, что доставляет ей удовольствие. Quantised"
1,1742819802917,24/03/2025 12:36,1742830602917,3,24/03/2025 18:36,209877,4,questionnaire-x8dj,,44655816,BLINDED,13016230,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3,390x844,390x663,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Не похоже на меня(2),2,Отчасти про меня (4),4,Немного похоже на меня (3),3,Не похоже на меня(2),2,Отчасти про меня (4),4,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Не похоже на меня(2),2,Отчасти про меня (4),4
1,1742975167548,26/03/2025 07:46,1742985967548,3,26/03/2025 13:46,209877,4,questionnaire-x8dj,,44724310,BLINDED,13035300,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,320x694,320x598,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Не похоже на меня(2),2,Не похоже на меня(2),2,Отчасти про меня (4),4,Похоже на меня (5),5,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Похоже на меня (5),5,Немного похоже на меня (3),3,Не похоже на меня(2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Не похоже на меня(2),2,Отчасти про меня (4),4
1,1742974877566,26/03/2025 07:41,1742985677566,3,26/03/2025 13:41,209877,4,questionnaire-x8dj,,44724180,BLINDED,13035303,,complete,,,mobile,Apple iPhone,iOS 18.3.1,Mobile Safari 18.3.1,414x896,414x699,,,0,PVQ F,3,consent,F,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Не похоже на меня(2),2,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5
1,1742975818350,26/03/2025 07:56,1742986618350,3,26/03/2025 13:56,209877,4,questionnaire-x8dj,,44724587,BLINDED,13035304,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.1,414x896,414x712,,,0,PVQ F,3,consent,F,Очень похоже на меня (6),6,Не похоже на меня(2),2,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Похоже на меня (5),5,Немного похоже на меня (3),3,Отчасти про меня (4),4,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Совсем не похоже на меня (1),1,Отчасти про меня (4),4,Очень похоже на меня (6),6,Не похоже на меня(2),2,Похоже на меня (5),5
1,1742976261698,26/03/2025 08:04,1742987061698,3,26/03/2025 14:04,209877,4,questionnaire-x8dj,,44724745,BLINDED,13035307,,complete,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,430x932,430x729,,,0,PVQ F,3,consent,F,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Не похоже на меня(2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Совсем не похоже на меня (1),1,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Отчасти про меня (4),4,Не похоже на меня(2),2,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5
1,1742975128124,26/03/2025 07:45,1742985928124,3,26/03/2025 13:45,209877,4,questionnaire-x8dj,,44724291,BLINDED,13035309,,complete,,,mobile,undefined K,Android 12,Chrome 134.0.6998.135,393x876,392x744,,,0,PVQ F,3,consent,F,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Похоже на меня (5),5,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Не похоже на меня(2),2,Похоже на меня (5),5,Не похоже на меня(2),2,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Похоже на меня (5),5,Совсем не похоже на меня (1),1,Похоже на меня (5),5
1,1742975303449,26/03/2025 07:48,1742986103449,3,26/03/2025 13:48,209877,4,questionnaire-x8dj,,44724370,BLINDED,13035310,,complete,,,mobile,Apple iPhone,iOS 18.2.1,Mobile Safari 18.2.1,440x956,440x753,,,0,PVQ F,3,consent,F,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Похоже на меня (5),5,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Отчасти про меня (4),4,Не похоже на меня(2),2,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Немного похоже на меня (3),3
1,1742975231833,26/03/2025 07:47,1742986031833,3,26/03/2025 13:47,209877,4,questionnaire-x8dj,,44724361,BLINDED,13035327,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.40,412x892,411x792,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Не похоже на меня(2),2,Очень похоже на меня (6),6,Отчасти про меня (4),4,Не похоже на меня(2),2,Отчасти про меня (4),4,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Немного похоже на меня (3),3,Очень похоже на меня (6),6,Не похоже на меня(2),2,Не похоже на меня(2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5
1,1742974972276,26/03/2025 07:42,1742985772276,3,26/03/2025 13:42,209877,4,questionnaire-x8dj,,44724221,BLINDED,13035336,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.135,384x832,384x701,,,0,PVQ F,3,consent,F,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Не похоже на меня(2),2,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Немного похоже на меня (3),3,Не похоже на меня(2),2
1,1742975847826,26/03/2025 07:57,1742986647826,3,26/03/2025 13:57,209877,4,questionnaire-x8dj,,44724558,BLINDED,13035326,,complete,,,mobile,undefined K,Android 14,Chrome 134.0.6998.39,412x915,411x780,,,0,PVQ F,3,consent,F,Немного похоже на меня (3),3,Отчасти про меня (4),4,Очень похоже на меня (6),6,Не похоже на меня(2),2,Отчасти про меня (4),4,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Совсем не похоже на меня (1),1,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4
1,1742974669307,26/03/2025 07:37,1742985469307,3,26/03/2025 13:37,209877,4,questionnaire-x8dj,,44724083,BLINDED,13035323,,live,,,mobile,Apple iPhone,iOS 18.3.2,Mobile Safari 18.3.2,393x852,393x649,,,0,PVQ F,3,consent,F,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Не похоже на меня(2),2,Похоже на меня (5),5,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Похоже на меня (5),5,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6
1,1742975240905,26/03/2025 07:47,1742986040905,3,26/03/2025 13:47,209877,4,questionnaire-x8dj,,44724347,BLINDED,13035324,,complete,,,mobile,Apple iPhone,iOS 18.0.1,Mobile Safari 18.0.1,414x896,414x714,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Похоже на меня (5),5,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6
1,1742975461856,26/03/2025 07:51,1742986261856,3,26/03/2025 13:51,209877,4,questionnaire-x8dj,,44724441,BLINDED,13035328,,complete,,,mobile,Apple iPhone,iOS 18.1.1,Mobile Safari 18.1.1,375x812,375x613,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Похоже на меня (5),5,Отчасти про меня (4),4,Немного похоже на меня (3),3,Не похоже на меня(2),2,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Немного похоже на меня (3),3,Похоже на меня (5),5
1,1742976377218,26/03/2025 08:06,1742987177218,3,26/03/2025 14:06,209877,4,questionnaire-x8dj,,44724780,BLINDED,13035340,,complete,,,mobile,undefined K,Android 13,Chrome 134.0.6998.39,393x873,392x735,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Совсем не похоже на меня (1),1,Похоже на меня (5),5,Отчасти про меня (4),4,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Очень похоже на меня (6),6,Не похоже на меня(2),2,Немного похоже на меня (3),3,Отчасти про меня (4),4,Очень похоже на меня (6),6,Отчасти про меня (4),4,Не похоже на меня(2),2,Очень похоже на меня (6),6
1,1742974774923,26/03/2025 07:39,1742985574923,3,26/03/2025 13:39,209877,4,questionnaire-x8dj,,44724131,BLINDED,13035332,,complete,,,mobile,Apple iPhone,iOS 17.3.1,Mobile Safari 17.3.1,414x896,414x699,,,0,PVQ F,3,consent,F,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Немного похоже на меня (3),3,Отчасти про меня (4),4,Похоже на меня (5),5,Похоже на меня (5),5,Похоже на меня (5),5,Очень похоже на меня (6),6,Отчасти про меня (4),4,Отчасти про меня (4),4,Отчасти про меня (4),4,Похоже на меня (5),5,Очень похоже на меня (6),6,Похоже на меня (5),5,Похоже на меня (5),5
