"","country_res_full","D_self_norm_mean_country","D_self_norm_sd_country","D_other_norm_mean_country","D_other_norm_sd_country","H_self_norm_mean_country","H_self_norm_sd_country","H_other_norm_mean_country","H_other_norm_sd_country","F_self_norm_mean_country","F_self_norm_sd_country","F_other_norm_mean_country","F_other_norm_sd_country","D_norm_mean_country","D_norm_sd_country","H_norm_mean_country","H_norm_sd_country","F_norm_mean_country","F_norm_sd_country","D_self_normc_mean_country","D_self_normc_sd_country","D_other_normc_mean_country","D_other_normc_sd_country","H_self_normc_mean_country","H_self_normc_sd_country","H_other_normc_mean_country","H_other_normc_sd_country","F_self_normc_mean_country","F_self_normc_sd_country","F_other_normc_mean_country","F_other_normc_sd_country","D_normc_mean_country","D_normc_sd_country","H_normc_mean_country","H_normc_sd_country","F_normc_mean_country","F_normc_sd_country"
"1","Argentina",4.65179856115108,0.911548492829934,4.3294964028777,1.18880363911719,4.52661870503597,0.879111503007468,4.46618705035971,0.909017143764175,4.37122302158273,0.883852289803451,3.76690647482014,0.946265618959306,4.49064748201439,0.949896415888347,4.4968824940048,0.783555750994632,4.06906474820144,0.8369933181441,0.299652691639792,0.711120036926339,-0.0226494666335896,0.902135397884116,0.174472835524684,0.720416075400778,0.114041180848425,0.577661214479969,0.0190771520714463,0.532150189484928,-0.585239394691144,0.638520756082024,0.138501612503101,0.663314268544672,0.144736624493509,0.490548707788994,-0.283081121309849,0.455738256862918
"2","Armenia",3.56706586826347,1.12934875138504,3.36216216216216,1.17366078929264,4.76096096096096,0.776329975203248,5.08888888888889,0.751402080789456,4.70870870870871,0.860555901771948,4.11171171171171,0.840116752364448,3.4625748502994,1.07764924013846,4.92492492492492,0.650262048945318,4.41044377711044,0.768947966580441,-0.693657512561085,0.976946959824966,-0.905350177763971,1.01526103984808,0.493448621034828,0.77875279434561,0.821376548962756,0.580369076206205,0.441196368782576,0.651527086290508,-0.155800628214421,0.640276434108961,-0.798148530525157,0.909084098874403,0.657412584998792,0.557526827381816,0.142931437184311,0.534517764280355
"3","Australia",4.55226519337017,0.875387307678287,4.42651933701657,1.0730010927464,4.2614364640884,0.899523062293628,4.48961325966851,0.84909006777068,4.40883977900552,0.891410139808792,4.0185635359116,0.94232351026873,4.48940454266421,0.902693631267037,4.37559238796808,0.773697948152452,4.21370165745856,0.856243402821634,0.192797358226964,0.808451224026266,0.0670515018733727,0.974766519665475,-0.098031371054804,0.749168000178479,0.130145424525306,0.534469549423084,0.049371943862323,0.567745208565377,-0.3409042992316,0.651580499376489,0.129936707521009,0.811125129347387,0.0161245528248766,0.507240489426106,-0.145766177684638,0.515078471404445
"4","Austria",4.42586206896552,0.913593417923763,4.3,1.07743482441668,4.07672413793103,0.962577506509588,4.375,0.96190422613675,4.44396551724138,0.904226611552413,3.88060344827586,1.0041099858636,4.36293103448276,0.903052080534801,4.22586206896552,0.887929708389047,4.16240421455939,0.889661418074684,0.175475624256837,0.72291448406016,0.0496135552913199,0.929025744508248,-0.173662306777646,0.654021673598162,0.12461355529132,0.555665420119956,0.193579072532699,0.512538082264394,-0.369782996432818,0.667766668250081,0.112544589774079,0.714556355860093,-0.024524375743163,0.480380862667835,-0.0879822301492932,0.482456510681801
"5","Bangladesh",4.94325259515571,0.938137454689243,4.95640138408304,1.04078405514426,4.60346020761246,0.862885460952708,5.10034602076125,0.690636696476932,5.04705882352941,0.859909555967627,4.75363321799308,0.853055547887488,4.94982698961938,0.95492599216852,4.85190311418685,0.690363866637242,4.90034602076125,0.790020141704215,0.0425605536332179,0.421077829009843,0.0557093425605537,0.53410596388452,-0.297231833910035,0.670791656516552,0.199653979238754,0.405636259369932,0.14636678200692,0.349717790816711,-0.147058823529412,0.466137265853401,0.0491349480968858,0.401876651751121,-0.04878892733564,0.416026677534242,-0.000346020761245708,0.245664324029388
"6","Bosnia-Herzegovina",3.75488721804511,1.0833457967745,3.50301507537688,1.08209189829075,4.67738693467337,0.675919901973809,4.82035175879397,0.743002877826093,4.56140350877193,0.823043765719152,4.05226130653266,0.893797497653349,3.62832080200501,0.999107610535778,4.74893914014517,0.607858650632145,4.30802005012531,0.763215782891886,-0.472851669403394,0.883145663828296,-0.725296020331543,0.855164297982293,0.44907583896494,0.694826237862425,0.592040663085543,0.495180463980029,0.333664621323424,0.614264283271256,-0.176049789175764,0.708172442319473,-0.599418085443494,0.762818074974476,0.520628044436743,0.478458019969946,0.080281162676807,0.533625745552621
"7","Brazil",4.33135313531353,1.07001910178921,4.20924092409241,1.34210239023308,4.53927392739274,0.976279327537755,4.6039603960396,0.941035162591854,4.3960396039604,1.01628339819472,3.94912280701754,0.996634949647627,4.27040704070407,1.1065365106353,4.57161716171617,0.786761127339538,4.1703125,0.909471059623163,-0.00738296051827405,0.89811058403397,-0.129495171739396,1.1355590251407,0.200537831560934,0.911394722718467,0.265224300207799,0.567918370096929,0.0573035081285906,0.65313904199579,-0.38520955165692,0.776801326133098,-0.068329055127735,0.894077555036471,0.232881065884366,0.52558979064758,-0.164019858674464,0.571738422528154
"8","Bulgaria",4.19094076655052,1.14356889218116,3.53728222996516,1.37925575367796,4.57979094076655,0.960919554233264,4.45156794425087,0.917195471508036,4.26271777003484,0.976204796486434,3.75418118466899,1.04449938251027,3.86411149825784,1.14256543083906,4.51567944250871,0.808995411115095,4.00836236933798,0.936217524320452,0.0616204093075414,0.934016887656145,-0.592038127277825,1.23788451032953,0.450470583523569,0.903940081371357,0.32224758700789,0.584444813294325,0.133397412791862,0.638267261604439,-0.375139172573992,0.785449657476072,-0.265208858985142,0.950147591066608,0.38635908526573,0.592881370193125,-0.120957987905002,0.605590424920622
"9","Cameroon",4.8126582278481,0.999027181411691,4.88481012658228,1.05909330379284,4.76962025316456,0.927753870058676,4.98987341772152,0.832400402291315,4.96455696202532,0.850183640662011,4.92784810126582,0.870234862340802,4.84866385372714,0.998521048046666,4.87974683544304,0.807035898748565,4.94620253164557,0.823124084256269,-0.0788811290557254,0.405208381708898,-0.00672923032154807,0.506742872062132,-0.12191910373927,0.591610462092969,0.0983340608176924,0.291190947045112,0.0730176051214898,0.346034462163429,0.0363087443619962,0.346348091909124,-0.0428755031766817,0.384093176022998,-0.0117925214607886,0.30314296717316,0.0546631747417431,0.239418490781982
"10","Canada",4.53095577746077,0.949900941925076,4.38288159771755,1.05988852457808,4.38402282453638,0.88542246222984,4.53780313837375,0.865537171631497,4.67724679029957,0.866783533947099,4.28473609129815,0.901147424261259,4.45691868758916,0.896834866441176,4.46091298145506,0.766260880316011,4.48088445078459,0.819149255229834,0.0647187105448702,0.904947709144002,-0.0833554691983538,0.960652125122196,-0.0822142423795235,0.727288429976319,0.0715660714578516,0.563404298434174,0.211009723383672,0.587022327483408,-0.181500975617755,0.61104170722083,-0.00931837932674181,0.813858996728994,-0.00532408546083596,0.493739205036353,0.0146473838686933,0.498188326052054
"11","Chile",4.46629834254144,1.01207233679233,4.30331491712707,1.18290691065622,4.51933701657459,0.918454441986906,4.74972375690608,0.865985375973986,4.68908839779006,0.896328922812689,4.10386740331492,1.00129360323351,4.38480662983425,1.02002992252032,4.63453038674033,0.788558013129863,4.39619398403929,0.872837828927465,-0.00555661395821433,0.831870127908335,-0.168540039372579,1.00215856275727,0.0474820600749348,0.742642028593089,0.277868800406427,0.551533186125283,0.217233441290405,0.586087762858758,-0.367987553184734,0.745350365365752,-0.0870483266653965,0.822706693211202,0.162675430240681,0.502923594975776,-0.0756609724603628,0.555247109899774
"12","China",4.33002754820937,0.971560656745752,4.7989010989011,0.985514311672432,3.94876033057851,0.82737510474201,4.85399449035813,0.698027425866905,4.79393939393939,0.735873718047767,4.28044077134986,0.92176135961482,4.56263736263736,0.906134386575231,4.40116314661769,0.639938423720011,4.53719008264463,0.753862858632212,-0.171786833855799,0.849943641947061,0.301212580522925,0.780289975017179,-0.553054051486653,0.724161694429224,0.352180108292961,0.417612428833936,0.292125011874228,0.443830692613758,-0.221373610715304,0.719436595682826,0.064948844259189,0.725974739692936,-0.100651235447474,0.415585192090813,0.0353757005794624,0.479603474326218
"13","Croatia",4.05789865871833,0.937648007905709,3.68716417910448,1.05690809740874,4.56959761549926,0.700894728140115,4.75529061102832,0.741457538292532,4.48440298507463,0.817456691661063,4.01432835820895,0.865224551377684,3.87196555721146,0.910365487075135,4.66244411326379,0.625447411982488,4.24925373134328,0.754136204769935,-0.20244837130083,0.731866827054882,-0.575561478322672,0.828537608647435,0.309250585480094,0.652281106107142,0.494943581009155,0.471596772536173,0.221677327647477,0.540882557671846,-0.248397299218195,0.651373175911513,-0.388381472807702,0.665054278875476,0.402097083244624,0.441152120326228,-0.0134719260838664,0.467703524713213
"14","Czech Republic",4.18923076923077,0.933240435313861,3.80615384615385,1.01442707470532,4.35192307692308,0.701157796988971,4.55435897435897,0.671160583544526,4.39435897435897,0.81114915745444,3.98717948717949,0.821397482186711,3.99769230769231,0.863733634850192,4.45339031339031,0.589942144374318,4.19076923076923,0.750332863976318,-0.0247244326554671,0.872477999617424,-0.40780135573239,0.896740879644661,0.137967875036841,0.604134147011888,0.340403772472738,0.464841910854922,0.180403772472738,0.638150449623678,-0.226775714706749,0.631765375178411,-0.216262894193929,0.760734398126361,0.239435111504077,0.408643578413353,-0.0231859711170057,0.547588129789768
"15","Ethiopia",4.73198653198653,0.890994979712038,4.95369127516779,1.0230359183463,4.04295302013423,0.97042148040803,4.78653198653199,0.814285725689234,4.89563758389262,0.876256824849016,4.60589225589226,0.901710440264345,4.84328859060403,0.900189985898054,4.41006711409396,0.757342951144911,4.75142617449664,0.819290813626264,0.0613756613756613,0.508115584048428,0.285330776605944,0.650878938739367,-0.625407478427613,0.872955196761224,0.115921115921116,0.458969578757136,0.227277085330777,0.449959340746738,-0.0647186147186147,0.498025268285251,0.174928092042186,0.482987252959193,-0.258293384467881,0.502768517694989,0.0830656759348034,0.329579387618419
"16","France",4.38988505747126,1.01576909438967,4.31264367816092,1.16028804203273,4.48,0.935544889158898,4.61195402298851,0.810782518812611,4.49793103448276,0.865024623302386,4.25057471264368,0.910976784118231,4.35126436781609,0.988723056514402,4.54597701149425,0.784293482537894,4.37425287356322,0.824413815187858,-0.0339463601532567,0.845611321530629,-0.111187739463601,1.01923763677466,0.0561685823754789,0.762380076899146,0.188122605363985,0.54251356484074,0.0740996168582375,0.573710112047002,-0.173256704980843,0.636122481783894,-0.0725670498084291,0.815780374452518,0.122145593869732,0.535333704687241,-0.0495785440613027,0.507427374960818
"17","Georgia",3.99020979020979,1.17274993582349,3.75454545454545,1.22924751038442,4.61188811188811,0.886387465115745,5.02657342657343,0.839461067628097,4.77902097902098,0.954608629044415,4.38076923076923,0.948691121917097,3.87237762237762,1.10496770329365,4.81961926961927,0.755695808618703,4.58018648018648,0.88182194665927,-0.433799533799534,1.00749173481684,-0.66946386946387,1.00953212189569,0.187878787878788,0.694428506651523,0.602564102564103,0.582275286044523,0.355011655011655,0.65389250459318,-0.0432400932400932,0.750432561086806,-0.551631701631702,0.891546436745522,0.395609945609946,0.486236044600148,0.156177156177156,0.606062482816789
"18","Germany",4.50716332378224,0.899788101454724,4.50601719197708,1.03482733593532,4.02263610315186,0.835306239060382,4.33610315186246,0.845267185499618,4.34813753581662,0.809345147546665,3.85988538681948,0.90115245107201,4.50659025787966,0.899553280505032,4.17936962750716,0.758276118812731,4.10401146131805,0.788501264279829,0.243839541547278,0.818262243438378,0.24269340974212,0.972949095386701,-0.240687679083095,0.691325430708294,0.0727793696275072,0.571843915284164,0.084813753581662,0.57519134834742,-0.403438395415473,0.683128386134769,0.243266475644699,0.82282714085853,-0.0839541547277937,0.520907156516051,-0.159312320916905,0.535659714169438
"19","Ghana",4.68387096774194,0.820674162770092,4.86451612903226,0.870480698968434,4.31612903225806,0.778016298111368,5.00161290322581,0.638772371648615,4.88145161290323,0.622938164376449,4.67741935483871,0.841820695607845,4.7741935483871,0.753121478863077,4.65913978494624,0.582264261728236,4.77939068100358,0.626229118955694,-0.0536151279199111,0.518908858655116,0.127030033370412,0.586260199305596,-0.421357063403782,0.671669840071662,0.26412680756396,0.40829694414081,0.143965517241379,0.402171273076573,-0.0600667408231368,0.534302987509551,0.0367074527252503,0.397560448243687,-0.0783463107156099,0.375287042860617,0.0419045853417377,0.259723329543333
"20","Greece",4.06349206349206,1.07903810513032,3.71655328798186,1.27205020716177,4.6766439909297,0.813758721649359,4.73197278911565,0.858803585960076,4.36780045351474,0.919266958999879,4.0421768707483,0.980231315701557,3.89002267573696,1.08928260354865,4.70430839002268,0.743734150417762,4.20498866213152,0.872677469504199,-0.202947845804989,0.980611990704866,-0.549886621315193,1.11879291565784,0.410204081632653,0.722907418016793,0.465532879818594,0.624694854389569,0.101360544217687,0.637211541603598,-0.224263038548753,0.77780990598307,-0.376417233560091,0.949719875374906,0.437868480725624,0.556494794585486,-0.0614512471655329,0.603429182244214
"21","Hong Kong",4.16923076923077,0.882885711452609,4.29230769230769,0.932050400309956,4.20659340659341,0.750378008118012,4.78241758241758,0.71345690621141,5.01318681318681,0.56552999551233,4.71868131868132,0.843262459197357,4.23076923076923,0.81944321309483,4.49450549450549,0.620459084041386,4.86593406593407,0.640003434056721,-0.361172161172161,0.810551766593288,-0.238095238095238,0.79359428370246,-0.323809523809524,0.62079768904459,0.252014652014652,0.506189072936893,0.482783882783883,0.47033905913943,0.188278388278388,0.673857031881862,-0.2996336996337,0.700555238443747,-0.035897435897436,0.411987976848144,0.335531135531136,0.48145361680116
"22","Hungary",3.85454545454545,1.07220873316407,3.34306220095694,1.25452168303147,4.56315789473684,0.799809077306179,4.46315789473684,0.921385454012369,4.35023923444976,0.898820137998341,3.92727272727273,0.923590495111167,3.59861775651249,1.06068934454551,4.51315789473684,0.756391838202366,4.13875598086124,0.833432348712366,-0.228947368421053,0.886791735464825,-0.740430622009569,1.03871763239523,0.479665071770335,0.691410198324822,0.379665071770335,0.62536200611046,0.266746411483254,0.639125346589769,-0.15622009569378,0.698401251781103,-0.484875066454014,0.834471458729716,0.429665071770335,0.512219294748566,0.0552631578947369,0.558823511393482
"23","India",3.90880829015544,1.21701151091406,3.83979328165375,1.3083106057411,4.62909090909091,0.770000983863992,5.06285714285714,0.727507977374033,4.83720930232558,0.834527240505905,4.70298701298701,0.85296520929543,3.87312661498708,1.19046352795382,4.84597402597403,0.65430517324889,4.7710020097617,0.785983948835356,-0.586841164909773,1.00696532789487,-0.654575425465562,1.08376804722615,0.131288251977907,0.705081287403274,0.565054485744141,0.545378442169357,0.342840595206273,0.651683909040676,0.205184355874011,0.701228264634434,-0.621242092132229,0.956468141327508,0.348171368861024,0.514119837302297,0.276633302642391,0.605856109659849
"24","Indonesia",4.60794223826715,1.01642761577043,4.86209386281588,0.972319774961427,4.30974729241877,0.716128081184588,5.04765342960289,0.678689526703244,4.99837545126354,0.613618895064912,4.54079422382671,0.753708284760915,4.73501805054152,0.94049463726088,4.67870036101083,0.543820130010114,4.76963497793823,0.590750797891764,-0.119776754222167,0.776634333086149,0.13437487032657,0.710763277275792,-0.417971700070542,0.711065629657626,0.319934437113573,0.453912431259866,0.270656458774223,0.413812918118098,-0.1869247686626,0.657235730050918,0.00729905805220146,0.670400927133583,-0.0490186314784846,0.406000363437816,0.0419159854489121,0.422163714021533
"25","Iran",3.76745406824147,1.19995770807733,3.29291338582677,1.20458648303466,4.57973684210526,0.809058173714586,4.85565789473684,0.848116546737792,4.64842105263158,0.844810407344587,4.36631578947368,0.855208845337308,3.52970982793817,1.1049792853869,4.71880116959064,0.69041238756251,4.50718567251462,0.766457730397738,-0.486366096000452,0.984665531381799,-0.96090677841515,0.934509402566267,0.329196098483757,0.73915892833939,0.605117151115336,0.653915351702566,0.397880309010073,0.541977717072229,0.115775045852178,0.704064484661848,-0.724110336303747,0.835287001426716,0.468260425969137,0.525715624266257,0.256644928893114,0.509905723771424
"26","Ireland",4.14794520547945,1.0354963368465,4.05479452054795,1.10717873392621,4.29315068493151,0.752833308819143,4.57260273972603,0.703416320928044,4.35068493150685,0.811569687510847,4.04657534246575,0.846246974683715,4.1013698630137,1.00367285931403,4.43287671232877,0.596297556808434,4.1986301369863,0.767661157652279,-0.0963470319634703,0.745947107892178,-0.189497716894977,0.802655252324571,0.0488584474885845,0.832723521169712,0.328310502283105,0.563626683232572,0.106392694063927,0.518296638401197,-0.197716894977169,0.588556739849544,-0.142922374429224,0.677242034439363,0.188584474885845,0.574757575790405,-0.045662100456621,0.45763437779989
"27","Israel",4.44144144144144,0.836359786110469,4.0036036036036,1.17666766936994,4.42432432432432,0.969113645558375,4.5445945945946,0.841096010531698,4.1536036036036,0.869503678041066,3.58063063063063,0.870942282355776,4.22252252252252,0.886460451838904,4.48450950950951,0.808590629981063,3.86711711711712,0.778694731665722,0.250044009526768,0.680605427642153,-0.18779382831107,1.0556436040364,0.232926892409651,0.825440164785408,0.353197162679921,0.611985826790159,-0.0377938283110697,0.595911433624009,-0.610766801284043,0.625123918367322,0.0311250906078492,0.729790016465204,0.293112077594836,0.59885250886821,-0.324280314797556,0.471192219250599
"28","Italy",4.18551236749117,1.01535224404775,3.89646643109541,1.17131869778958,4.5243816254417,0.977303073949962,4.67358657243816,0.900282767042411,4.5178445229682,0.872986705610966,4.10989399293286,0.8448538582737,4.04098939929329,1.01207667513267,4.59848841774637,0.850259505599453,4.31386925795053,0.783529146043255,-0.132262093334958,0.872140063768658,-0.421308029730718,1.09587448561129,0.206607164615572,0.85345060220887,0.355812111612039,0.602524794715878,0.200070062142074,0.559442784968899,-0.207880467893262,0.603742587775066,-0.276785061532838,0.896448520679,0.280713956920244,0.620896246747879,-0.00390520287559412,0.463375310807658
"29","Japan",3.70566037735849,0.829916990201379,4.41509433962264,0.843362901713608,3.90566037735849,0.690472848387351,4.61745283018868,0.638094920676688,4.92877358490566,0.630900445223225,4.55518867924528,0.809734779720223,4.06037735849057,0.681040678467362,4.26155660377358,0.538765273963626,4.74198113207547,0.653726788185363,-0.648977987421384,0.831352415342089,0.0604559748427673,0.703065225249051,-0.448977987421384,0.614985785359387,0.262814465408805,0.442659943696013,0.574135220125786,0.44804602956503,0.200550314465409,0.639737609632051,-0.294261006289308,0.597100144989297,-0.0930817610062893,0.36794938554897,0.387342767295597,0.45333271208771
"30","Kazakhstan",4.21935483870968,1.07162088369585,4.00430107526882,1.01423712801625,4.4989247311828,0.778864086996027,4.81505376344086,0.75999803154195,4.45322580645161,1.02277878233157,4.02365591397849,0.975726914024969,4.11230585424134,0.959785132016155,4.65698924731183,0.668937809786069,4.23835125448029,0.939343308447245,-0.116635768137437,1.06467731990037,-0.331689531578297,0.920413415966796,0.162934124335682,0.660209353915432,0.479063156593746,0.514950639835543,0.117235199604499,0.779416030089073,-0.31233469286862,0.789461579888661,-0.223684752605776,0.907168218840116,0.320998640464714,0.453750958801984,-0.0976393523668273,0.706091177624
"31","Kenya",4.60456939281289,1.13605079154422,4.69793621013133,1.21288419420013,4.19746105919003,1.28426775529078,4.60665708812261,1.09870397803772,4.47875968992248,1.1664859803453,4.37540437678402,1.24155987942881,4.65580919653085,1.05959298084921,4.38616711744939,1.01143769929687,4.43275756085567,1.02320078911266,0.109959727385378,0.802672981786027,0.203189493433396,0.865993623427148,-0.29309968847352,1.10452052648221,0.118342911877395,0.71712276352601,-0.00607751937984507,0.832443512632308,-0.105756422454805,0.847506711296637,0.166118474881362,0.651680230684324,-0.100579870502418,0.674911864450671,-0.0563990656503566,0.563975064095812
